"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1442","Tela de emprestimo com garantia","","Sat Mar 08 12:42:01 UTC 2025","passed","Sat Mar 08 12:42:03 UTC 2025","","Emprestimo com garantia","Emprestimo com garantia","Tela de emprestimo com garantia"
"","2420","Calcular financiamento Aquisição de imovel Residencial","","Sat Mar 08 12:41:31 UTC 2025","passed","Sat Mar 08 12:41:33 UTC 2025","","Financiamento aquisição de imovel","Financiamento aquisição de imovel","Calcular financiamento Aquisição de imovel Residencial"
"","2947","Calcular emprestimo Aquisição de imovel Residencial pessoa fisica com taxas inclusas","","Sat Mar 08 12:42:03 UTC 2025","passed","Sat Mar 08 12:42:06 UTC 2025","","Emprestimo com garantia","Emprestimo com garantia","Calcular emprestimo Aquisição de imovel Residencial pessoa fisica com taxas inclusas"
"","2883","Tela Aquisição de imovel","","Sat Mar 08 12:41:28 UTC 2025","passed","Sat Mar 08 12:41:31 UTC 2025","","Financiamento aquisição de imovel","Financiamento aquisição de imovel","Tela Aquisição de imovel"
"","1352","Tela de Consorcio","","Sat Mar 08 12:41:48 UTC 2025","passed","Sat Mar 08 12:41:49 UTC 2025","","Consorcio","Consorcio","Tela de Consorcio"
"","1929","Calcular financiamento Aquisição de imovel Comercial","","Sat Mar 08 12:41:33 UTC 2025","passed","Sat Mar 08 12:41:35 UTC 2025","","Financiamento aquisição de imovel","Financiamento aquisição de imovel","Calcular financiamento Aquisição de imovel Comercial"
"","8191","Conhecer todas as ofertas de Aquisição de imovel","","Sat Mar 08 12:41:35 UTC 2025","passed","Sat Mar 08 12:41:44 UTC 2025","","Financiamento aquisição de imovel","Financiamento aquisição de imovel","Conhecer todas as ofertas de Aquisição de imovel"
"","9188","Calcular consorcio de veiculo leve pessoa fisica","","Sat Mar 08 12:41:49 UTC 2025","failed","Sat Mar 08 12:41:58 UTC 2025","","Consorcio","Consorcio","Calcular consorcio de veiculo leve pessoa fisica"
